,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
134,"135,-0.45559636,-0.5609484,0.45062882,1.7352414,-9.64172,-0.44338074,-0.00013315413,-0.0015978495,-0.0015978495,1.7886349,-9.959526,-0.46779683"
135,"136,-0.45559636,-0.5609484,0.45062882,1.7352414,-9.64172,-0.44338074,0.0023967742,-0.0038614697,-0.00013315413,1.7886349,-9.959526,-0.46779683"
136,"137,-0.45559636,-0.5609484,0.45062882,1.7352414,-9.64172,-0.44338074,0.0023967742,-0.0038614697,-0.00013315413,1.7886349,-9.959526,-0.46779683"
137,"138,-0.45559636,-0.5609484,0.45062882,1.7352414,-9.64172,-0.44338074,0.0023967742,-0.0038614697,-0.00013315413,1.7886349,-9.959526,-0.46779683"
138,"139,-0.45559636,-0.5609484,0.45062882,1.7352414,-9.64172,-0.44338074,0.0023967742,-0.0038614697,-0.00013315413,1.7886349,-9.959526,-0.46779683"
139,"140,-0.45559636,-0.5609484,0.45062882,1.7352414,-9.64172,-0.44338074,0.0023967742,-0.0038614697,-0.00013315413,1.7886349,-9.959526,-0.46779683"
140,"141,-0.45587677,-0.56105477,0.4505817,1.7323451,-9.642381,-0.44030532,0.0023967742,-0.0038614697,-0.00013315413,1.8089739,-9.960723,-0.4552345"
141,"142,-0.45587677,-0.56105477,0.4505817,1.7323451,-9.642381,-0.44030532,-0.001065233,0.013714875,-0.002130466,1.8089739,-9.960723,-0.4552345"
142,"143,-0.45587677,-0.56105477,0.4505817,1.7323451,-9.642381,-0.44030532,-0.001065233,0.013714875,-0.002130466,1.8089739,-9.960723,-0.4552345"
143,"144,-0.45587677,-0.56105477,0.4505817,1.7323451,-9.642381,-0.44030532,-0.001065233,0.013714875,-0.002130466,1.8089739,-9.960723,-0.4552345"
144,"145,-0.45587677,-0.56105477,0.4505817,1.7323451,-9.642381,-0.44030532,-0.001065233,0.013714875,-0.002130466,1.8089739,-9.960723,-0.4552345"
145,"146,-0.45589167,-0.56090295,0.45073658,1.743863,-9.640248,-0.44153088,-0.001065233,0.013714875,-0.002130466,1.8089739,-9.960723,-0.4552345"
146,"147,-0.45589167,-0.56090295,0.45073658,1.743863,-9.640248,-0.44153088,-0.001065233,0.013714875,-0.002130466,1.7820547,-9.963116,-0.42831525"
147,"148,-0.45589167,-0.56090295,0.45073658,1.743863,-9.640248,-0.44153088,0.0067908606,-0.0074566314,-0.0017310036,1.7820547,-9.963116,-0.42831525"
148,"149,-0.45589167,-0.56090295,0.45073658,1.743863,-9.640248,-0.44153088,0.0067908606,-0.0074566314,-0.0017310036,1.7820547,-9.963116,-0.42831525"
149,"150,-0.45589167,-0.56090295,0.45073658,1.743863,-9.640248,-0.44153088,0.0067908606,-0.0074566314,-0.0017310036,1.7820547,-9.963116,-0.42831525"
150,"151,-0.45589167,-0.56090295,0.45073658,1.743863,-9.640248,-0.44153088,0.0067908606,-0.0074566314,-0.0017310036,1.7820547,-9.963116,-0.42831525"
151,"152,-0.45559797,-0.5611972,0.45038038,1.7375776,-9.642082,-0.4259967,0.0067908606,-0.0074566314,-0.0017310036,1.8083757,-9.954143,-0.44506502"
152,"153,-0.45559797,-0.5611972,0.45038038,1.7375776,-9.642082,-0.4259967,-0.0006657706,0.0047935485,-0.0015978495,1.8083757,-9.954143,-0.44506502"
153,"154,-0.45559797,-0.5611972,0.45038038,1.7375776,-9.642082,-0.4259967,-0.0006657706,0.0047935485,-0.0015978495,1.8083757,-9.954143,-0.44506502"
154,"155,-0.45559797,-0.5611972,0.45038038,1.7375776,-9.642082,-0.4259967,-0.0006657706,0.0047935485,-0.0015978495,1.8083757,-9.954143,-0.44506502"
