,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
130,"131,-2.3113735,2.6850412,2.1405983,4.159315,-7.509491,4.741101,-0.1736586,0.23076692,-0.08183836,-0.56103474,0.8424461,-0.5210639"
131,"132,-2.3113735,2.6850412,2.1405983,4.159315,-7.509491,4.741101,-0.1736586,0.23076692,-0.08183836,-0.56103474,0.8424461,-0.5210639"
132,"133,-2.3113735,2.6850412,2.1405983,4.159315,-7.509491,4.741101,-0.1736586,0.23076692,-0.08183836,-0.56103474,0.8424461,-0.5210639"
133,"134,-2.3113735,2.6850412,2.1405983,4.159315,-7.509491,4.741101,-0.1736586,0.23076692,-0.08183836,-0.56103474,0.8424461,-0.5210639"
134,"135,-2.3113735,2.6850412,2.1405983,4.159315,-7.509491,4.741101,-0.1736586,0.23076692,-0.08183836,-0.56103474,0.8424461,-0.5210639"
135,"136,-2.3113735,2.6850412,2.1405983,4.159315,-7.509491,4.741101,-0.1736586,0.23076692,-0.08183836,-0.56103474,0.8424461,-0.5210639"
136,"137,-2.3136854,2.668938,2.2608716,4.1638646,-7.7011867,4.418637,-0.1532541,0.21769233,-0.07229298,-0.30431104,0.068280794,0.356398"
137,"138,-2.3136854,2.668938,2.2608716,4.1638646,-7.7011867,4.418637,-0.1532541,0.21769233,-0.07229298,-0.30431104,0.068280794,0.356398"
138,"139,-2.3136854,2.668938,2.2608716,4.1638646,-7.7011867,4.418637,-0.1532541,0.21769233,-0.07229298,-0.30431104,0.068280794,0.356398"
139,"140,-2.3136854,2.668938,2.2608716,4.1638646,-7.7011867,4.418637,-0.1532541,0.21769233,-0.07229298,-0.30431104,0.068280794,0.356398"
140,"141,-2.3136854,2.668938,2.2608716,4.1638646,-7.7011867,4.418637,-0.1532541,0.21769233,-0.07229298,-0.30431104,0.068280794,0.356398"
141,"142,-2.3136854,2.668938,2.2608716,4.1638646,-7.7011867,4.418637,-0.1532541,0.21769233,-0.07229298,-0.30431104,0.068280794,0.356398"
142,"143,-2.3265417,2.5845249,2.64138,4.1413426,-8.0146675,3.8450952,-0.124882,0.21006753,-0.06353223,-0.049370676,0.27940634,0.25107405"
143,"144,-2.3265417,2.5845249,2.64138,4.1413426,-8.0146675,3.8450952,-0.124882,0.21006753,-0.06353223,-0.049370676,0.27940634,0.25107405"
144,"145,-2.3265417,2.5845249,2.64138,4.1413426,-8.0146675,3.8450952,-0.124882,0.21006753,-0.06353223,-0.049370676,0.27940634,0.25107405"
145,"146,-2.3265417,2.5845249,2.64138,4.1413426,-8.0146675,3.8450952,-0.124882,0.21006753,-0.06353223,-0.049370676,0.27940634,0.25107405"
146,"147,-2.3265417,2.5845249,2.64138,4.1413426,-8.0146675,3.8450952,-0.124882,0.21006753,-0.06353223,-0.049370676,0.27940634,0.25107405"
147,"148,-2.3480978,2.460931,2.8696084,4.121914,-8.120371,3.6386533,-0.064609624,0.11121867,-0.01930155,0.116071954,-0.19507714,0.12459737"
148,"149,-2.3480978,2.460931,2.8696084,4.121914,-8.120371,3.6386533,-0.064609624,0.11121867,-0.01930155,0.116071954,-0.19507714,0.12459737"
149,"150,-2.3480978,2.460931,2.8696084,4.121914,-8.120371,3.6386533,-0.064609624,0.11121867,-0.01930155,0.116071954,-0.19507714,0.12459737"
150,"151,-2.3480978,2.460931,2.8696084,4.121914,-8.120371,3.6386533,-0.064609624,0.11121867,-0.01930155,0.116071954,-0.19507714,0.12459737"
151,"152,-2.3480978,2.460931,2.8696084,4.121914,-8.120371,3.6386533,-0.064609624,0.11121867,-0.01930155,0.116071954,-0.19507714,0.12459737"
152,"153,-2.3480978,2.460931,2.8696084,4.121914,-8.120371,3.6386533,-0.064609624,0.11121867,-0.01930155,0.116071954,-0.19507714,0.12459737"
153,"154,-2.418455,2.0814707,3.1018045,4.103197,-8.194771,3.4899693,0.017193604,-0.020871865,0.038889486,0.19421475,-0.4535519,-0.42113912"
154,"155,-2.418455,2.0814707,3.1018045,4.103197,-8.194771,3.4899693,0.017193604,-0.020871865,0.038889486,0.19421475,-0.4535519,-0.42113912"
155,"156,-2.418455,2.0814707,3.1018045,4.103197,-8.194771,3.4899693,0.017193604,-0.020871865,0.038889486,0.19421475,-0.4535519,-0.42113912"
156,"157,-2.418455,2.0814707,3.1018045,4.103197,-8.194771,3.4899693,0.017193604,-0.020871865,0.038889486,0.19421475,-0.4535519,-0.42113912"
157,"158,-2.418455,2.0814707,3.1018045,4.103197,-8.194771,3.4899693,0.017193604,-0.020871865,0.038889486,0.19421475,-0.4535519,-0.42113912"
158,"159,-2.5608397,1.481006,-3.0508115,4.0479593,-8.244206,3.4376557,0.08239409,-0.1054644,0.07656424,0.29645723,0.06369095,0.0011162169"
159,"160,-2.5608397,1.481006,-3.0508115,4.0479593,-8.244206,3.4376557,0.08239409,-0.1054644,0.07656424,0.29645723,0.06369095,0.0011162169"
160,"161,-2.5608397,1.481006,-3.0508115,4.0479593,-8.244206,3.4376557,0.08239409,-0.1054644,0.07656424,0.29645723,0.06369095,0.0011162169"
161,"162,-2.5608397,1.481006,-3.0508115,4.0479593,-8.244206,3.4376557,0.08239409,-0.1054644,0.07656424,0.29645723,0.06369095,0.0011162169"
162,"163,-2.5608397,1.481006,-3.0508115,4.0479593,-8.244206,3.4376557,0.08239409,-0.1054644,0.07656424,0.29645723,0.06369095,0.0011162169"
163,"164,-2.5608397,1.481006,-3.0508115,4.0479593,-8.244206,3.4376557,0.08239409,-0.1054644,0.07656424,0.29645723,0.06369095,0.0011162169"
164,"165,-3.0000358,0.8776696,-2.9403903,3.9957097,-8.273742,3.4278107,0.122068204,-0.13276018,0.08888614,0.10174275,-0.11845767,0.15240426"
165,"166,-3.0000358,0.8776696,-2.9403903,3.9957097,-8.273742,3.4278107,0.122068204,-0.13276018,0.08888614,0.10174275,-0.11845767,0.15240426"
166,"167,-3.0000358,0.8776696,-2.9403903,3.9957097,-8.273742,3.4278107,0.122068204,-0.13276018,0.08888614,0.10174275,-0.11845767,0.15240426"
